NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	
N13	2.78583e-022	3.13825e-019	2.54179e-016	8.05295e-014	7.46751e-013	2.71035e-013	4.0234e-014	1.58565e-014	5.07671e-012	3.1276e-009	1.06636e-006	0.000174966	0.0113968	0.216141	0.683093	0.0870463	0.00212945	1.70485e-005	5.88664e-008	1.03775e-010	1.04636e-013	6.61111e-017	2.98699e-020	8.29585e-023	2.05329e-025	2.96848e-027	5.46749e-030	4.65182e-032	5.97296e-035	3.04731e-037	2.63353e-040	8.17378e-043	4.30066e-046	8.10298e-049	2.34159e-052	2.48943e-055	4.25442e-059	2.44464e-062	2.68952e-066	1.01835e-069	7.49868e-074	2.18423e-077	1.20133e-081	4.54271e-085	3.24529e-088	
N14	1.00126e-024	1.42398e-021	1.58404e-018	1.04277e-015	1.05331e-014	1.72499e-015	1.29132e-016	1.01188e-017	2.55437e-015	5.53663e-012	6.85632e-009	4.21753e-006	0.00106375	0.0792093	0.873031	0.0462997	0.00039089	1.02953e-006	1.15566e-009	6.6258e-013	2.18349e-016	4.50465e-020	6.3206e-024	2.89489e-027	2.45502e-030	1.7744e-032	1.28637e-035	5.62365e-038	2.92028e-041	7.76927e-044	2.82665e-047	4.62768e-050	1.07052e-053	1.07975e-056	1.3451e-060	7.86573e-064	4.96764e-068	1.2912e-071	5.10063e-076	8.103e-080	2.10301e-084	2.49346e-088	4.64213e-093	6.54641e-097	1.77838e-100	
Amitermes_darwini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amitermes_germanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	7.13778e-024	6.56716e-021	4.07001e-018	1.17234e-015	9.6729e-015	2.79299e-015	3.956e-016	7.96866e-017	2.68385e-014	3.98355e-011	3.35637e-008	1.39213e-005	0.00233889	0.114185	0.819224	0.0634464	0.000789479	3.0453e-006	4.97374e-009	4.12657e-012	1.95935e-015	5.80435e-019	1.17185e-022	1.12901e-025	1.70279e-028	2.42576e-030	2.90057e-033	2.48323e-035	2.09998e-038	1.10076e-040	6.3544e-044	2.07983e-046	7.33521e-050	1.51028e-052	2.75617e-056	3.31687e-059	3.03427e-063	1.55932e-066	9.16908e-071	2.76641e-074	1.09419e-078	2.41369e-082	6.89796e-087	1.79809e-090	1.03703e-093	
Amitermes_parvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Drepanotermes_septentrionalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	2.47862e-022	5.17775e-019	6.31747e-016	1.06813e-013	2.21929e-013	2.43444e-014	1.22796e-014	4.17433e-014	3.06856e-011	2.43623e-008	9.54895e-006	0.00152661	0.071421	0.463661	0.442988	0.0201983	0.000194771	6.47826e-007	9.59652e-010	7.41464e-013	3.32611e-016	9.38314e-020	1.79198e-023	6.08314e-027	4.22219e-030	2.09444e-032	1.52397e-035	4.72087e-038	2.46599e-041	4.62957e-044	1.71827e-047	1.96553e-050	4.81626e-054	3.33617e-057	4.73858e-061	1.91288e-064	1.53326e-068	3.29817e-072	1.64809e-076	2.29019e-080	7.4741e-085	7.83819e-089	1.83802e-093	2.14743e-097	3.70715e-101	
N17	2.33571e-023	2.53799e-020	1.42715e-017	1.98179e-015	7.42304e-015	4.78197e-015	2.22942e-015	2.1688e-015	1.32579e-012	1.84251e-009	1.28314e-006	0.000364013	0.0302377	0.37323	0.569882	0.0260705	0.000214162	5.56979e-007	6.11951e-010	3.38357e-013	1.0601e-016	5.42544e-020	1.34625e-022	1.22816e-023	2.70314e-026	1.46427e-027	1.79947e-030	6.11257e-032	3.87224e-035	8.64896e-037	2.41655e-040	3.51273e-042	3.50818e-046	2.52116e-048	1.42328e-052	4.59065e-055	1.77865e-059	2.61836e-062	1.45672e-066	7.06492e-068	9.97919e-071	2.96577e-072	2.98469e-075	2.45125e-076	1.05045e-076	
Odontotermes_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
