"i","asc1","desc1","asc2","desc2","pol1","pol2","dem1","dem2","tran12","tran21","lambda1","mu1","p"
4957,0.0485852167191561,0.0338370917670174,0.0486575993366434,0.00153306844000528,0.00174817793302879,0.0148589234040806,0.00809570644601718,0.0211806647265094,0.00547818523544161,2.12803441326986e-08,0.0294660080993566,0.00349892870160058,-206.713211743815
3495,0.0645743517115378,0.0308358671112581,0.0121851968289394,0.0241360243506944,0.00269691510243563,0.0272520525671427,0.00371337014015414,0.00998183698143629,0.00909740705586095,2.39868281039511e-08,0.029008374950743,0.0010023500147663,-207.006697865033
4762,0.0205667980277535,0.0423525091918151,0.0286548282671724,0.0312790095093218,0.000726071405834508,0.0530854329287898,0.0039343959941928,0.0178560924598792,0.00538639754234901,1.74578894947611e-10,0.0260964276327895,0.00011443786167395,-207.977518142218
3102,0.0454192881710459,0.00875496627750896,0.0026901887340185,0.0370124093603526,0.00216205829243848,0.0230657070808553,0.00598635571308562,0.0245496351946539,0.00948526163954836,1.83446356835634e-08,0.019429175736248,0.00409946957750406,-205.942936674637
4340,0.05158191818584,0.00168659020197442,0.0212867678299284,0.00967937681488945,0.00139036201171023,0.0383000666008734,0.00517870906063674,0.0116462668713351,0.00456636299156626,4.91159347642182e-08,0.0242689129903489,0.00462071453372658,-205.429383300911
4324,0.0491564393893329,0.00801872625809857,0.0157538315814491,0.0117354780524151,0.00105648796332416,0.0408825429585917,0.00510547268803426,0.0227784029744053,0.00880581993596363,2.18824159086571e-09,0.0253135313085951,0.00337991109084339,-203.629408981432
2516,0.0487204137084156,0.0177955432657499,0.0451640859001973,0.0263711767596693,0.00191185254272724,0.0197039711044948,0.00439154549776311,0.011803682782879,0.00605666540005689,1.38138813874386e-08,0.0283080799754416,0.00813233285715287,-205.311243413267
2728,0.0450299958380094,0.00983734410727126,0.0299532441080212,0.0225250393509179,0.00464732222561362,0.0110473573126813,0.00413653956957689,0.0395884103646151,0.00870742331203546,4.94298255913235e-08,0.0312578748662583,0.0147196644126185,-208.353025809082
3626,0.0453792565556342,0.00332686894013268,0.0376621456396299,0.0161137193042198,0.00151183142962045,0.038265408191944,0.00781767909371123,0.0152124150789991,0.00470192215230481,1.42121143101493e-10,0.0279598546015862,0.00561072692193348,-206.188984670037
3992,0.0430802855657629,0.00561997011151586,0.048384846642465,0.0218120610239361,0.00150453495752454,0.0161062648872433,0.00530865975611869,0.0163050762637503,0.0086465651174008,1.51821355963956e-08,0.0175207955292417,0.00219218561753422,-206.092879434648
4537,0.0516656689802508,0.00973406339962171,0.0394324015034488,0.0148369347140505,0.000728209196346882,0.0236152396722736,0.0129922361684924,0.0318160629125045,0.011026578200041,1.0285993174994e-08,0.0237815531753796,0.000720484166631856,-208.563293587141
3336,0.0514446530712651,0.0120276550916206,0.0415555731559355,0.0268316469068836,0.00270907403475652,0.0431187845755426,0.00662266257105885,0.0262933056120839,0.00961447166024049,1.21407683833617e-08,0.0240644612116441,0.00346433793444164,-205.914797215862
3372,0.0382761336352776,0.0202160163559885,0.00716848432027802,0.0169359805776391,0.00148731821584235,0.0297125424149065,0.00661041505031423,0.0334505796190418,0.00878830235945475,4.75603635342759e-08,0.0241060493411894,0.000345342810955756,-204.489602395456
4032,0.0612686036794807,0.0213645096175471,0.0275207785180686,0.00707474571573408,0.0015045921507529,0.0512037970705732,0.0096472560262123,0.0116499580244437,0.0103903671499072,2.18859021673584e-08,0.0202417224059163,0.000323949992789878,-207.135539265111
2651,0.0393429755968182,0.021864057163588,0.0133631190257315,0.014037600922786,0.00157280138028896,0.0326371178303614,0.00662973213648967,0.035512448343553,0.00672502535799582,2.55267619053112e-08,0.0249367894787587,0.00661429931605302,-204.970598554106
4911,0.0592217309186957,0.0254494657251809,0.0257995691559214,0.0130169277966979,0.00319029623415506,0.0279629947103473,0.00319294857827034,0.0231083487624206,0.00591783599869597,9.20486487441834e-09,0.0240909685703211,0.00756969223387885,-205.401234289609
2742,0.0148592492852754,0.036988563143959,0.0332191233019598,0.0205807988418542,0.00401096863108538,0.0201420047208197,0.00441659097698451,0.0120397897766524,0.00835163374026058,4.81820473027373e-08,0.030283337553199,0.0144675900471227,-210.048622053753
2950,0.0643343491495527,0.0414397296313994,0.0278383980827281,0.0464280868846791,0.00256212538675226,0.0186204610103737,0.00341052066967799,0.0302623730871842,0.00941053028237761,4.43417129156379e-08,0.0284587849214011,0.00317852555081359,-209.232133287214
3639,0.0485703662212612,0.0178053040869441,0.0201811722002156,0.0546175690274408,0.0023806187820421,0.0330268228676743,0.00569148392669048,0.0190688334220256,0.0044185091829631,4.90699521888213e-08,0.0334120842067771,0.00473628554392545,-208.27811040126
2998,0.0427249752128463,0.0176595331655491,0.0298803309465858,0.0185034733119265,0.00322061645504756,0.0439814249459051,0.00437771852686475,0.0421218913460399,0.0069008050674284,3.90066132631287e-08,0.0225265876610706,0.00978352968449882,-207.292904429507
4454,0.0651154512276852,0.0198615021676621,0.0021910245567454,0.0410937950318005,0.00235766094567305,0.0144584350763976,0.00639776016226604,0.0458479567107486,0.00440798661090569,5.43342338924256e-08,0.0242988236601312,0.000712176400037429,-206.704043373938
3302,0.0633656161274742,0.0294042991953622,0.0392233291539644,0.0131472044957684,0.000915103729556014,0.0258563836863912,0.00648647182803751,0.0123977751064343,0.00624053381887713,2.08976975645714e-08,0.0184239120615725,0.00384344475635681,-206.111234875941
4025,0.0461161690955823,0.0334512873661006,0.0225498263062926,0.0298636281573057,0.00348337108639403,0.0039647183288512,0.00705037988807264,0.0362913150841473,0.00312860980985125,5.75407455103876e-08,0.033728010325647,0.00290753557317941,-212.928954944046
3547,0.046740314893655,0.0284658780697911,0.0666877009959126,0.00380005019254225,0.00178432491467993,0.0451381994959591,0.00944096739432686,0.0181713191764977,0.00503047169699652,2.67643787243065e-08,0.0338690635624397,0.0130032229213726,-210.753642558619
4596,0.0513774645272518,0.03810800978287,0.0614544064598757,0.0314216792161262,0.00225987666408967,0.0284835472917835,0.00397710038042234,0.0128301933497756,0.00436702234578372,4.06496573458362e-08,0.0237258204940775,0.0101447203451437,-210.000689050513
